data,linha,sigla,estacao,fluxo,ano
2023-05-03,1-AZUL,JAB,Jabaquara,69500,2023
2023-05-04,1-AZUL,JAB,Jabaquara,69300,2023
2023-05-05,1-AZUL,JAB,Jabaquara,71300,2023
2023-05-06,1-AZUL,JAB,Jabaquara,46800,2023
2023-05-07,1-AZUL,JAB,Jabaquara,32300,2023
2023-05-08,1-AZUL,JAB,Jabaquara,71400,2023
2023-05-09,1-AZUL,JAB,Jabaquara,71100,2023
2023-05-10,1-AZUL,JAB,Jabaquara,69900,2023
2023-05-11,1-AZUL,JAB,Jabaquara,70800,2023
2023-05-12,1-AZUL,JAB,Jabaquara,72700,2023
2023-05-13,1-AZUL,JAB,Jabaquara,48100,2023
2023-05-14,1-AZUL,JAB,Jabaquara,31000,2023
2023-05-15,1-AZUL,JAB,Jabaquara,67600,2023
2023-05-16,1-AZUL,JAB,Jabaquara,67100,2023
2023-05-17,1-AZUL,JAB,Jabaquara,68800,2023
2023-05-18,1-AZUL,JAB,Jabaquara,69200,2023
2023-05-19,1-AZUL,JAB,Jabaquara,70300,2023
2023-05-20,1-AZUL,JAB,Jabaquara,46500,2023
2023-05-21,1-AZUL,JAB,Jabaquara,30900,2023
2023-05-22,1-AZUL,JAB,Jabaquara,69600,2023
2023-05-23,1-AZUL,JAB,Jabaquara,70700,2023
2023-05-24,1-AZUL,JAB,Jabaquara,70700,2023
2023-05-25,1-AZUL,JAB,Jabaquara,70700,2023
2023-05-26,1-AZUL,JAB,Jabaquara,71800,2023
2023-05-27,1-AZUL,JAB,Jabaquara,46500,2023
2023-05-28,1-AZUL,JAB,Jabaquara,31600,2023
2023-05-29,1-AZUL,JAB,Jabaquara,66800,2023
2023-05-30,1-AZUL,JAB,Jabaquara,66800,2023
2023-05-31,1-AZUL,JAB,Jabaquara,62400,2023
2023-06-01,1-AZUL,JAB,Jabaquara,68200,2023
2023-06-02,1-AZUL,JAB,Jabaquara,69300,2023
2023-06-03,1-AZUL,JAB,Jabaquara,45600,2023
2023-06-04,1-AZUL,JAB,Jabaquara,28600,2023
2023-06-05,1-AZUL,JAB,Jabaquara,70400,2023
2023-06-06,1-AZUL,JAB,Jabaquara,71400,2023
2023-06-07,1-AZUL,JAB,Jabaquara,73700,2023
2023-06-08,1-AZUL,JAB,Jabaquara,36600,2023
2023-06-09,1-AZUL,JAB,Jabaquara,57200,2023
2023-06-10,1-AZUL,JAB,Jabaquara,46000,2023
2023-06-11,1-AZUL,JAB,Jabaquara,39500,2023
2023-06-12,1-AZUL,JAB,Jabaquara,71500,2023
2023-06-13,1-AZUL,JAB,Jabaquara,67600,2023
2023-06-14,1-AZUL,JAB,Jabaquara,67400,2023
2023-06-15,1-AZUL,JAB,Jabaquara,66900,2023
2023-06-16,1-AZUL,JAB,Jabaquara,68900,2023
2023-06-17,1-AZUL,JAB,Jabaquara,44300,2023
2023-06-18,1-AZUL,JAB,Jabaquara,27200,2023
2023-06-19,1-AZUL,JAB,Jabaquara,67100,2023
2023-06-20,1-AZUL,JAB,Jabaquara,66800,2023
2023-06-21,1-AZUL,JAB,Jabaquara,67200,2023
2023-06-22,1-AZUL,JAB,Jabaquara,66400,2023
2023-06-23,1-AZUL,JAB,Jabaquara,67600,2023
2023-06-24,1-AZUL,JAB,Jabaquara,44700,2023
2023-06-25,1-AZUL,JAB,Jabaquara,30000,2023
2023-06-26,1-AZUL,JAB,Jabaquara,66100,2023
2023-06-27,1-AZUL,JAB,Jabaquara,66800,2023
2023-06-28,1-AZUL,JAB,Jabaquara,68000,2023
2023-06-29,1-AZUL,JAB,Jabaquara,67400,2023
2023-06-30,1-AZUL,JAB,Jabaquara,69100,2023
2023-07-01,1-AZUL,JAB,Jabaquara,45700,2023
2023-07-02,1-AZUL,JAB,Jabaquara,29600,2023
2023-07-03,1-AZUL,JAB,Jabaquara,64800,2023
2023-07-04,1-AZUL,JAB,Jabaquara,64500,2023
2023-07-05,1-AZUL,JAB,Jabaquara,65600,2023
2023-07-06,1-AZUL,JAB,Jabaquara,66100,2023
2023-07-07,1-AZUL,JAB,Jabaquara,70900,2023
2023-07-08,1-AZUL,JAB,Jabaquara,51800,2023
2023-07-09,1-AZUL,JAB,Jabaquara,32400,2023
2023-07-10,1-AZUL,JAB,Jabaquara,63900,2023
2023-07-11,1-AZUL,JAB,Jabaquara,65800,2023
2023-07-12,1-AZUL,JAB,Jabaquara,65500,2023
2023-07-13,1-AZUL,JAB,Jabaquara,65500,2023
2023-07-14,1-AZUL,JAB,Jabaquara,66600,2023
2023-07-15,1-AZUL,JAB,Jabaquara,46800,2023
2023-07-16,1-AZUL,JAB,Jabaquara,32200,2023
2023-07-17,1-AZUL,JAB,Jabaquara,65000,2023
2023-07-18,1-AZUL,JAB,Jabaquara,64100,2023
2023-07-19,1-AZUL,JAB,Jabaquara,63200,2023
2023-07-20,1-AZUL,JAB,Jabaquara,64400,2023
2023-07-21,1-AZUL,JAB,Jabaquara,66500,2023
2023-07-22,1-AZUL,JAB,Jabaquara,45700,2023
2023-07-23,1-AZUL,JAB,Jabaquara,32400,2023
2023-07-24,1-AZUL,JAB,Jabaquara,65100,2023
2023-07-25,1-AZUL,JAB,Jabaquara,65900,2023
2023-07-26,1-AZUL,JAB,Jabaquara,64700,2023
2023-07-27,1-AZUL,JAB,Jabaquara,65600,2023
2023-07-28,1-AZUL,JAB,Jabaquara,69200,2023
2023-07-29,1-AZUL,JAB,Jabaquara,47300,2023
2023-07-30,1-AZUL,JAB,Jabaquara,32900,2023
2023-07-31,1-AZUL,JAB,Jabaquara,69100,2023
2023-08-01,1-AZUL,JAB,Jabaquara,69500,2023
2023-08-02,1-AZUL,JAB,Jabaquara,68100,2023
2023-08-03,1-AZUL,JAB,Jabaquara,66300,2023
2023-08-04,1-AZUL,JAB,Jabaquara,68300,2023
2023-08-05,1-AZUL,JAB,Jabaquara,46600,2023
2023-08-06,1-AZUL,JAB,Jabaquara,32800,2023
2023-08-07,1-AZUL,JAB,Jabaquara,69900,2023
2023-08-08,1-AZUL,JAB,Jabaquara,71200,2023
2023-08-09,1-AZUL,JAB,Jabaquara,68100,2023
2023-08-10,1-AZUL,JAB,Jabaquara,71200,2023
2023-08-11,1-AZUL,JAB,Jabaquara,70300,2023
2023-08-12,1-AZUL,JAB,Jabaquara,46500,2023
2023-08-13,1-AZUL,JAB,Jabaquara,30200,2023
2023-08-14,1-AZUL,JAB,Jabaquara,69000,2023
2023-08-15,1-AZUL,JAB,Jabaquara,68600,2023
2023-08-16,1-AZUL,JAB,Jabaquara,70400,2023
2023-08-17,1-AZUL,JAB,Jabaquara,70300,2023
2023-08-18,1-AZUL,JAB,Jabaquara,72800,2023
2023-08-19,1-AZUL,JAB,Jabaquara,46800,2023
2023-08-20,1-AZUL,JAB,Jabaquara,32900,2023
2023-08-21,1-AZUL,JAB,Jabaquara,70100,2023
2023-08-22,1-AZUL,JAB,Jabaquara,70700,2023
2023-08-23,1-AZUL,JAB,Jabaquara,70900,2023
2023-08-24,1-AZUL,JAB,Jabaquara,70500,2023
2023-08-25,1-AZUL,JAB,Jabaquara,69200,2023
2023-08-26,1-AZUL,JAB,Jabaquara,40500,2023
2023-08-27,1-AZUL,JAB,Jabaquara,24600,2023
2023-08-28,1-AZUL,JAB,Jabaquara,66700,2023
2023-08-29,1-AZUL,JAB,Jabaquara,68200,2023
2023-08-30,1-AZUL,JAB,Jabaquara,69200,2023
2023-08-31,1-AZUL,JAB,Jabaquara,68900,2023
2023-09-01,1-AZUL,JAB,Jabaquara,73000,2023
2023-09-02,1-AZUL,JAB,Jabaquara,46200,2023
2023-09-03,1-AZUL,JAB,Jabaquara,31700,2023
2023-09-04,1-AZUL,JAB,Jabaquara,69700,2023
2023-09-05,1-AZUL,JAB,Jabaquara,70000,2023
2023-09-06,1-AZUL,JAB,Jabaquara,73600,2023
2023-09-07,1-AZUL,JAB,Jabaquara,33400,2023
2023-09-08,1-AZUL,JAB,Jabaquara,56500,2023
2023-09-09,1-AZUL,JAB,Jabaquara,45700,2023
2023-09-10,1-AZUL,JAB,Jabaquara,42300,2023
2023-09-11,1-AZUL,JAB,Jabaquara,75200,2023
2023-09-12,1-AZUL,JAB,Jabaquara,74800,2023
2023-09-13,1-AZUL,JAB,Jabaquara,73000,2023
2023-09-14,1-AZUL,JAB,Jabaquara,70200,2023
2023-09-15,1-AZUL,JAB,Jabaquara,73600,2023
2023-09-16,1-AZUL,JAB,Jabaquara,46500,2023
2023-09-17,1-AZUL,JAB,Jabaquara,33500,2023
2023-09-18,1-AZUL,JAB,Jabaquara,71900,2023
2023-09-19,1-AZUL,JAB,Jabaquara,71200,2023
2023-09-20,1-AZUL,JAB,Jabaquara,68300,2023
2023-09-21,1-AZUL,JAB,Jabaquara,71100,2023
2023-09-22,1-AZUL,JAB,Jabaquara,71400,2023
2023-09-23,1-AZUL,JAB,Jabaquara,46500,2023
2023-09-24,1-AZUL,JAB,Jabaquara,36500,2023
2023-09-25,1-AZUL,JAB,Jabaquara,69700,2023
2023-09-26,1-AZUL,JAB,Jabaquara,72000,2023
2023-09-27,1-AZUL,JAB,Jabaquara,70000,2023
2023-09-28,1-AZUL,JAB,Jabaquara,69500,2023
