data,linha,sigla,estacao,fluxo
2025-06-26,1-AZUL,JAB,Jabaquara,67500
2025-06-27,1-AZUL,JAB,Jabaquara,65900
2025-06-28,1-AZUL,JAB,Jabaquara,42400
2025-06-29,1-AZUL,JAB,Jabaquara,27300
2025-06-30,1-AZUL,JAB,Jabaquara,63700
2025-07-01,1-AZUL,JAB,Jabaquara,63000
2025-07-02,1-AZUL,JAB,Jabaquara,61100
2025-07-03,1-AZUL,JAB,Jabaquara,62600
2025-07-04,1-AZUL,JAB,Jabaquara,65400
2025-07-05,1-AZUL,JAB,Jabaquara,45700
2025-07-06,1-AZUL,JAB,Jabaquara,29400
2025-07-07,1-AZUL,JAB,Jabaquara,64000
2025-07-08,1-AZUL,JAB,Jabaquara,68200
2025-07-09,1-AZUL,JAB,Jabaquara,34900
2025-07-10,1-AZUL,JAB,Jabaquara,63300
2025-07-11,1-AZUL,JAB,Jabaquara,60100
2025-07-12,1-AZUL,JAB,Jabaquara,43400
2025-07-13,1-AZUL,JAB,Jabaquara,31500
2025-07-14,1-AZUL,JAB,Jabaquara,62800
2025-07-15,1-AZUL,JAB,Jabaquara,63700
2025-07-16,1-AZUL,JAB,Jabaquara,58100
2025-07-17,1-AZUL,JAB,Jabaquara,62700
2025-07-18,1-AZUL,JAB,Jabaquara,66100
2025-07-19,1-AZUL,JAB,Jabaquara,38400
2025-07-20,1-AZUL,JAB,Jabaquara,30700
2025-07-21,1-AZUL,JAB,Jabaquara,61800
2025-07-22,1-AZUL,JAB,Jabaquara,65200
2025-07-23,1-AZUL,JAB,Jabaquara,65400
2025-07-24,1-AZUL,JAB,Jabaquara,63200
2025-07-25,1-AZUL,JAB,Jabaquara,65400
2025-07-26,1-AZUL,JAB,Jabaquara,41900
2025-07-27,1-AZUL,JAB,Jabaquara,30100
2025-07-28,1-AZUL,JAB,Jabaquara,59900
2025-07-29,1-AZUL,JAB,Jabaquara,64500
2025-07-30,1-AZUL,JAB,Jabaquara,63900
2025-07-31,1-AZUL,JAB,Jabaquara,64700
2025-08-01,1-AZUL,JAB,Jabaquara,65600
2025-08-02,1-AZUL,JAB,Jabaquara,44100
2025-08-03,1-AZUL,JAB,Jabaquara,31700
2025-08-04,1-AZUL,JAB,Jabaquara,65500
2025-08-05,1-AZUL,JAB,Jabaquara,67100
2025-08-06,1-AZUL,JAB,Jabaquara,66300
2025-08-07,1-AZUL,JAB,Jabaquara,66400
2025-08-08,1-AZUL,JAB,Jabaquara,68600
2025-08-09,1-AZUL,JAB,Jabaquara,43900
2025-08-10,1-AZUL,JAB,Jabaquara,27800
2025-08-11,1-AZUL,JAB,Jabaquara,66000
2025-08-12,1-AZUL,JAB,Jabaquara,69300
2025-08-13,1-AZUL,JAB,Jabaquara,71000
2025-08-14,1-AZUL,JAB,Jabaquara,66200
2025-08-15,1-AZUL,JAB,Jabaquara,67400
2025-08-16,1-AZUL,JAB,Jabaquara,43000
2025-08-17,1-AZUL,JAB,Jabaquara,30100
2025-08-18,1-AZUL,JAB,Jabaquara,66300
2025-08-19,1-AZUL,JAB,Jabaquara,70100
2025-08-20,1-AZUL,JAB,Jabaquara,73900
2025-08-21,1-AZUL,JAB,Jabaquara,70300
2025-08-22,1-AZUL,JAB,Jabaquara,68800
2025-08-23,1-AZUL,JAB,Jabaquara,45600
2025-08-24,1-AZUL,JAB,Jabaquara,29800
2025-08-25,1-AZUL,JAB,Jabaquara,63900
2025-08-26,1-AZUL,JAB,Jabaquara,67800
2025-08-27,1-AZUL,JAB,Jabaquara,66200
2025-08-28,1-AZUL,JAB,Jabaquara,70700
2025-08-29,1-AZUL,JAB,Jabaquara,69200
2025-08-30,1-AZUL,JAB,Jabaquara,43700
2025-08-31,1-AZUL,JAB,Jabaquara,29500
2025-09-01,1-AZUL,JAB,Jabaquara,68800
2025-09-02,1-AZUL,JAB,Jabaquara,69500
2025-09-03,1-AZUL,JAB,Jabaquara,69800
2025-09-04,1-AZUL,JAB,Jabaquara,70000
2025-09-05,1-AZUL,JAB,Jabaquara,71800
2025-09-06,1-AZUL,JAB,Jabaquara,45800
2025-09-07,1-AZUL,JAB,Jabaquara,31500
2025-09-08,1-AZUL,JAB,Jabaquara,71600
2025-09-09,1-AZUL,JAB,Jabaquara,72500
2025-09-10,1-AZUL,JAB,Jabaquara,72300
2025-09-11,1-AZUL,JAB,Jabaquara,71300
2025-09-12,1-AZUL,JAB,Jabaquara,71500
2025-09-13,1-AZUL,JAB,Jabaquara,44800
2025-09-14,1-AZUL,JAB,Jabaquara,31400
2025-09-15,1-AZUL,JAB,Jabaquara,70200
2025-09-16,1-AZUL,JAB,Jabaquara,71100
2025-09-17,1-AZUL,JAB,Jabaquara,70800
2025-09-18,1-AZUL,JAB,Jabaquara,70400
2025-09-19,1-AZUL,JAB,Jabaquara,70500
2025-09-20,1-AZUL,JAB,Jabaquara,46300
2025-09-21,1-AZUL,JAB,Jabaquara,34900
2025-09-22,1-AZUL,JAB,Jabaquara,67500
2025-09-23,1-AZUL,JAB,Jabaquara,69400
2025-09-24,1-AZUL,JAB,Jabaquara,68900
2025-09-25,1-AZUL,JAB,Jabaquara,68600
2025-09-26,1-AZUL,JAB,Jabaquara,69200
2025-09-27,1-AZUL,JAB,Jabaquara,42600
2025-09-28,1-AZUL,JAB,Jabaquara,30000
2025-09-29,1-AZUL,JAB,Jabaquara,69200
2025-09-30,1-AZUL,JAB,Jabaquara,71200
2025-10-01,1-AZUL,JAB,Jabaquara,70600
2025-10-02,1-AZUL,JAB,Jabaquara,68700
2025-10-03,1-AZUL,JAB,Jabaquara,70800
2025-10-04,1-AZUL,JAB,Jabaquara,44900
2025-10-05,1-AZUL,JAB,Jabaquara,33300
2025-10-06,1-AZUL,JAB,Jabaquara,70600
2025-10-07,1-AZUL,JAB,Jabaquara,69600
2025-10-08,1-AZUL,JAB,Jabaquara,68700
2025-10-09,1-AZUL,JAB,Jabaquara,69300
2025-10-10,1-AZUL,JAB,Jabaquara,68500
2025-10-11,1-AZUL,JAB,Jabaquara,46200
2025-10-12,1-AZUL,JAB,Jabaquara,30900
2025-10-13,1-AZUL,JAB,Jabaquara,68700
2025-10-14,1-AZUL,JAB,Jabaquara,70000
2025-10-15,1-AZUL,JAB,Jabaquara,69500
2025-10-16,1-AZUL,JAB,Jabaquara,69900
2025-10-17,1-AZUL,JAB,Jabaquara,70300
